Date,HIGH,LOW
01-01-2021,14049.8,13991.3
04-01-2021,14148,13953.8
05-01-2021,14215.6,14048.2
06-01-2021,14244.2,14039.9
07-01-2021,14256.3,14123.1
08-01-2021,14367.3,14221.7
11-01-2021,14498.2,14383.1
12-01-2021,14590.7,14432.8
13-01-2021,14653.3,14435.7
14-01-2021,14617.8,14471.5
15-01-2021,14617.5,14357.8
18-01-2021,14459.2,14222.8
19-01-2021,14546,14350.8
20-01-2021,14666.5,14517.5
21-01-2021,14753.5,14517.3
22-01-2021,14619.9,14357.8
25-01-2021,14491.1,14218.6
27-01-2021,14222.7,13929.3
28-01-2021,13898.3,13713.3
29-01-2021,13966.8,13596.8
01-02-2021,14336.3,13661.8
02-02-2021,14731.7,14469.2
03-02-2021,14868.8,14574.2
04-02-2021,14913.7,14714.8
05-02-2021,15014.7,14864.8
08-02-2021,15159.9,15041
09-02-2021,15257.1,15064.3
10-02-2021,15168.3,14977.2
11-02-2021,15188.5,15065.4
12-02-2021,15243.5,15081
15-02-2021,15340.2,15243.4
16-02-2021,15431.8,15242.2
17-02-2021,15314.3,15170.8
18-02-2021,15250.8,15078
19-02-2021,15144,14898.2
22-02-2021,15010.1,14635
23-02-2021,14854.5,14651.8
24-02-2021,14822.3,14723
25-02-2021,15176.5,15065.3
26-02-2021,14919.5,14467.8
01-03-2021,14806.8,14638.5
02-03-2021,14959.1,14760.8
03-03-2021,15273.2,14995.8
04-03-2021,15202.3,14980.2
05-03-2021,15092.3,14862.1
08-03-2021,15111.2,14919.9
09-03-2021,15126.8,14925.5
10-03-2021,15218.5,15100.8
12-03-2021,15336.3,14953.6
15-03-2021,15044.9,14745.8
16-03-2021,15051.6,14890.7
17-03-2021,14956.5,14696
18-03-2021,14875.2,14478.6
19-03-2021,14788.3,14350.1
22-03-2021,14763.9,14597.8
23-03-2021,14878.6,14707
24-03-2021,14752.3,14535
25-03-2021,14575.6,14264.4
26-03-2021,14572.9,14414.3
30-03-2021,14876.3,14617.6
31-03-2021,14813.8,14670.3
01-04-2021,14883.2,14692.5
05-04-2021,14849.8,14459.5
06-04-2021,14779.1,14573.9
07-04-2021,14879.8,14649.8
08-04-2021,14984.2,14821.1
09-04-2021,14918.5,14785.7
12-04-2021,14652.5,14248.7
13-04-2021,14528.9,14274.9
15-04-2021,14597.5,14353.2
16-04-2021,14697.7,14559
19-04-2021,14382.3,14191.4
20-04-2021,14527,14207.3
22-04-2021,14424.8,14151.4
23-04-2021,14461.2,14273.3
26-04-2021,14557.5,14421.3
27-04-2021,14667.5,14484.8
28-04-2021,14890.3,14695
29-04-2021,15044.3,14814.5
30-04-2021,14855.5,14601.7
03-05-2021,14673.8,14416.3
04-05-2021,14723.4,14461.5
05-05-2021,14637.9,14506.6
06-05-2021,14743.9,14611.5
07-05-2021,14863,14765.5
10-05-2021,14966.9,14892.5
11-05-2021,14900,14771.4
12-05-2021,14824,14649.7
14-05-2021,14749.7,14591.9
17-05-2021,14938,14725.3
18-05-2021,15137.3,15043.7
19-05-2021,15133.4,15008.8
20-05-2021,15069.8,14884.9
21-05-2021,15190,14985.8
24-05-2021,15256.3,15145.5
25-05-2021,15293.8,15163.4
26-05-2021,15319.9,15195
27-05-2021,15384.5,15272.5
28-05-2021,15469.7,15394.8
31-05-2021,15606.3,15374
01-06-2021,15660.8,15528.3
02-06-2021,15597.5,15459.8
03-06-2021,15705.1,15611
04-06-2021,15733.6,15622.3
07-06-2021,15773.5,15678.1
08-06-2021,15778.8,15680
09-06-2021,15800.5,15566.9
10-06-2021,15751.3,15648.5
11-06-2021,15835.5,15749.8
14-06-2021,15823,15606.5
15-06-2021,15901.6,15842.4
16-06-2021,15880.8,15742.6
17-06-2021,15769.3,15616.8
18-06-2021,15761.5,15450.9
21-06-2021,15765.2,15505.7
22-06-2021,15895.8,15752.1
23-06-2021,15863,15674
24-06-2021,15821.4,15702.7
25-06-2021,15870.8,15772.3
28-06-2021,15915.7,15792.2
29-06-2021,15835.9,15724
30-06-2021,15839.1,15708.8
01-07-2021,15755.5,15667
02-07-2021,15738.3,15636
05-07-2021,15846,15762
06-07-2021,15914.2,15801
07-07-2021,15893.5,15779.7
08-07-2021,15885.8,15682.9
09-07-2021,15730.8,15632.8
12-07-2021,15789.2,15644.8
13-07-2021,15820.8,15744.6
14-07-2021,15877.3,15764.2
15-07-2021,15952.3,15855
16-07-2021,15962.3,15882.6
19-07-2021,15836.9,15707.5
20-07-2021,15728.5,15578.5
22-07-2021,15834.8,15726.4
23-07-2021,15899.8,15768.4
26-07-2021,15893.3,15797
27-07-2021,15881.5,15701
28-07-2021,15767.5,15513.5
29-07-2021,15817.3,15737.8
30-07-2021,15862.8,15744.8
02-08-2021,15892.9,15834.7
03-08-2021,16146.9,15914.3
04-08-2021,16290.2,16176.2
05-08-2021,16349.5,16210.3
06-08-2021,16336.8,16223.3
09-08-2021,16320.8,16179
10-08-2021,16359.3,16202.3
11-08-2021,16338.8,16162.5
12-08-2021,16375.5,16286.9
13-08-2021,16543.6,16376.3
16-08-2021,16589.4,16480.8
17-08-2021,16628.6,16495.4
18-08-2021,16701.8,16535.8
20-08-2021,16509.6,16376
23-08-2021,16592.5,16395.7
24-08-2021,16647.1,16495.3
25-08-2021,16712.4,16617.5
26-08-2021,16683.7,16603.4
27-08-2021,16722.1,16565.6
30-08-2021,16951.5,16764.8
31-08-2021,17153.5,16915.8
01-09-2021,17225.8,17055.1
02-09-2021,17245.5,17059.7
03-09-2021,17340.1,17212.2
06-09-2021,17429.6,17345.6
07-09-2021,17436.5,17287
08-09-2021,17383.4,17254.2
09-09-2021,17379.7,17302.7
13-09-2021,17378.3,17269.2
14-09-2021,17438.6,17367.1
15-09-2021,17532.7,17386.9
16-09-2021,17644.6,17510.4
17-09-2021,17792.9,17537.7
20-09-2021,17622.8,17361.8
21-09-2021,17578.3,17326.1
22-09-2021,17610.4,17524
23-09-2021,17843.9,17646.6
24-09-2021,17947.7,17819.4
27-09-2021,17943.5,17802.9
28-09-2021,17912.8,17576.1
29-09-2021,17781.8,17608.2
30-09-2021,17742.2,17585.3
01-10-2021,17557.2,17452.9
04-10-2021,17750.9,17581.3
05-10-2021,17833.4,17640.9
06-10-2021,17884.6,17613.2
07-10-2021,17857.6,17763.8
08-10-2021,17941.8,17840.3
11-10-2021,18041.9,17839.1
12-10-2021,18008.7,17864.9
13-10-2021,18197.8,18050.8
14-10-2021,18350.8,18248.7
18-10-2021,18543.2,18445.3
19-10-2021,18604.4,18377.7
20-10-2021,18458.3,18209.3
21-10-2021,18384.2,18048
22-10-2021,18314.3,18034.3
25-10-2021,18241.4,17968.5
26-10-2021,18310.4,18099.3
27-10-2021,18342.1,18167.9
28-10-2021,18190.7,17799.4
29-10-2021,17915.8,17613.1
01-11-2021,17954.1,17697.1
02-11-2021,18012.3,17847.6
03-11-2021,17988.8,17757.9
08-11-2021,18087.8,17836.1
09-11-2021,18112.6,17983.1
10-11-2021,18061.3,17915
11-11-2021,17971.3,17798.2
12-11-2021,18123,17905.9
15-11-2021,18210.2,18071.3
16-11-2021,18132.7,17958.8
17-11-2021,18022.7,17879.3
18-11-2021,17945.6,17688.5
22-11-2021,17805.3,17280.4
23-11-2021,17553.7,17216.1
24-11-2021,17600.6,17354
25-11-2021,17564.3,17351.7
26-11-2021,17355.4,16985.7
29-11-2021,17160.7,16782.4
30-11-2021,17324.7,16931.4
01-12-2021,17213.1,17064.3
02-12-2021,17420.3,17149.3
03-12-2021,17489.8,17180.8
06-12-2021,17216.8,16891.7
07-12-2021,17251.7,16987.8
08-12-2021,17484.6,17308.9
09-12-2021,17543.3,17379.6
10-12-2021,17534.3,17405.3
13-12-2021,17639.5,17355.9
14-12-2021,17376.2,17225.8
15-12-2021,17351.2,17192.2
16-12-2021,17379.3,17184.9
17-12-2021,17298.2,16966.4
20-12-2021,16840.1,16410.2
21-12-2021,16936.4,16688.3
22-12-2021,16971,16819.5
23-12-2021,17118.7,17015.6
24-12-2021,17155.6,16909.6
27-12-2021,17112.1,16833.2
28-12-2021,17250.3,17161.2
29-12-2021,17285.9,17176.7
30-12-2021,17264.1,17146.3
31-12-2021,17400.8,17238.5
