Date,HIGH,LOW
01-01-2021,31384.3,31188.3
04-01-2021,31489.6,30893.7
05-01-2021,31767.7,30935.6
06-01-2021,31982.3,31548.2
07-01-2021,32177.4,31911.5
08-01-2021,32261.8,32002.9
11-01-2021,32288.4,31836.9
12-01-2021,32397.9,31725.8
13-01-2021,32683.5,32148.3
14-01-2021,32718.9,32442.3
15-01-2021,32544.8,32044.3
18-01-2021,32441.5,31650.9
19-01-2021,32464.9,31863.9
20-01-2021,32607.4,32322.9
21-01-2021,32842.3,31985.6
22-01-2021,32131.4,31119.9
25-01-2021,31697.6,31013.7
27-01-2021,31287.1,30165.7
28-01-2021,30464.4,29687.7
29-01-2021,31111.9,30254.6
01-02-2021,33305.3,30906.4
02-02-2021,34652.5,33583.1
03-02-2021,34908.1,34011.9
04-02-2021,35413.1,34238.9
05-02-2021,36615.2,35545
08-02-2021,36466.4,35872.3
09-02-2021,36477.1,35636.9
10-02-2021,36227.2,35428.1
11-02-2021,36009.4,35573.3
12-02-2021,36322.8,35700.3
15-02-2021,37449.9,36405.1
16-02-2021,37708.8,36762.8
17-02-2021,37331.4,36764.3
18-02-2021,37108.8,36367.4
19-02-2021,36656.2,35584.6
22-02-2021,36128.9,35097.6
23-02-2021,35680.9,34976
24-02-2021,35691.7,35060.6
25-02-2021,37232.2,36494
26-02-2021,35902.9,34658.7
01-03-2021,35581.1,34983.8
02-03-2021,35747.1,35002.4
03-03-2021,36455.1,35570.6
04-03-2021,36316.4,35519.3
05-03-2021,35616.1,34893.3
08-03-2021,35827.3,35090.8
09-03-2021,36077.8,35544.9
10-03-2021,36176.9,35764.4
12-03-2021,36463.1,35188.1
15-03-2021,35488.6,34430.6
16-03-2021,35405.1,34744.6
17-03-2021,35100.5,34131.5
18-03-2021,34759.9,33597.6
19-03-2021,34355.4,33361
22-03-2021,34148.9,33389.1
23-03-2021,34360.1,33622
24-03-2021,33970.6,33203.4
25-03-2021,33550.1,32415.3
26-03-2021,33610.6,33166.1
30-03-2021,33990.8,33564.6
31-03-2021,33773.1,33151.8
01-04-2021,33949.1,33208.8
05-04-2021,33697.8,32330.2
